review_id,product_id,review_date,customer_id,vine,star_rating,helpful_votes,total_votes,verified_purchase
R3I2DHQBR577SS,B001ANOOOE,1440979200000,1797882,N,5,0,0,Y
R1QNE9NQFJC2Y4,B0016J22EQ,1440979200000,18381298,N,5,0,0,Y
R3LIDG2Q4LJBAO,B00HU6UQAG,1440979200000,19242472,N,5,0,0,Y
R3KSZHPAEVPEAL,B002HWS7RM,1440979200000,19551372,N,5,0,0,Y
RAI2OIG50KZ43,B00SM99KWU,1440979200000,14802407,N,5,0,0,Y
R1R30FA4RB5P54,B000NYL1Z6,1440979200000,2909389,N,4,0,0,Y
R30IJKCGJBGPJH,B001SYWTFG,1440979200000,19397215,N,5,0,0,Y
R18GLJJPVQ1OVH,B005F2EVMQ,1440979200000,3195210,N,5,0,0,Y
R8TVYIJXLYJT0,B00M1SUW7K,1440979200000,52216383,N,5,0,0,Y
R1CJGF6M3PVHEZ,B001KYQA1S,1440979200000,10278216,N,1,0,2,Y
R2A30ALEGLMCGN,B00SAQ9DZY,1440979200000,24655453,N,4,1,1,Y
R134GP1Y3EQZ1L,B00HFQQ0VU,1440979200000,30788223,N,5,0,0,Y
R6CE3SOIUJGP4,B00PYL8MAA,1440979200000,11257536,N,4,1,1,N
R37CDLQZUPDZVM,B00D9NV2D4,1440979200000,29605778,N,5,0,0,Y
R1KH9XCK6GYT26,B008Y9M412,1440979200000,41238422,N,5,0,0,Y
R3I4BQ6654MQNA,B00FWXBLHG,1440979200000,23620123,N,5,1,1,Y
R3LUPG356F1D40,B003KL8CB0,1440979200000,25564245,N,5,3,3,N
R3HNVRTHL9S2ZB,B006R2LNV0,1440979200000,801375,N,5,0,0,N
R5HKL5RD4IUT8,B00SMIIR0W,1440979200000,9478730,N,5,0,0,Y
R37Z8NBTHPR853,B003UKKH6O,1440979200000,18418407,N,5,0,0,Y
RD8F1K5G9W1VX,B00PATJU8Y,1440979200000,42644737,Y,3,0,0,N
R3N2C08ZJJ6SY1,B00HDZGF4K,1440979200000,4224840,N,5,0,0,N
R1NV38DF3KQG9R,B004QM0OJ0,1440979200000,49631440,N,4,0,0,Y
RCP1Z3UBYTWTZ,B000NL0T1G,1440979200000,15548310,N,5,0,0,Y
R2MNWYYJQ3NOYA,B004VM9JCS,1440979200000,1778076,N,5,0,0,Y
R26I0TOLTRCJNF,B004OHQR1Q,1440979200000,4028997,N,5,0,0,Y
R1O5HZBOVLX8CY,B006MWL2ZM,1440979200000,41137196,N,2,0,0,Y
R3C6ALUXJ3M0E0,B00EMJMEFY,1440979200000,1778076,N,5,0,0,Y
R1MASIM5NHR9G4,B00DSYFYRE,1440979200000,22904338,N,5,0,2,N
R2P08VELITQHHG,B00NL2AOPU,1440979200000,15848105,N,5,0,0,N
R2ZFYF38D5Y9YS,B004J2P6D6,1440979200000,106879,N,4,0,0,Y
R2QRUE9REK8OUC,B00461F4PA,1440979200000,22393078,N,5,18,23,Y
RVHCXMEY80SGB,B007ZN5ATQ,1440979200000,15322085,N,5,0,0,Y
R377C4ZT3K6NUB,B001BKR5X8,1440979200000,36855756,N,4,0,0,Y
R1BMJXQGYXQG2F,B00B76ALVO,1440979200000,11948473,N,5,1,1,N
R3SRUOY8ETBDFL,B009ESL1SY,1440979200000,18551811,N,5,0,0,Y
R23REI1P4U50Y6,B00YMMENPK,1440979200000,39521197,N,5,0,0,Y
R31IWERY6019Z1,B00TR6HX76,1440979200000,91020,N,5,0,0,N
R31P0KLYS24Y7K,B004FAWBTO,1440979200000,8573447,N,5,0,0,Y
R1V3QWZ5919M3K,B00JIMSQ5W,1440979200000,133323,N,5,4,5,Y
RW70OUSBVWMLT,B00O09E33C,1440979200000,45844443,N,5,1,2,N
R3F43G543HH7BX,B00JNH8Z6W,1440979200000,19396637,N,5,0,0,Y
R14VEDRPU4KL6M,B00KA5R3KU,1440979200000,9295857,N,5,0,0,Y
R2D3DVAG9NOZ3S,B002WTCK50,1440979200000,20510361,N,5,0,0,Y
R2K7SZZPIMNJKY,B00KYUXIOG,1440979200000,39205837,N,4,0,0,N
R19RE4JO8O8D56,B00QHLTBXI,1440979200000,37446839,N,5,1,1,N
R193KL04GUMGWU,B007S69QAY,1440979200000,39447863,N,4,0,1,N
RH8RTY3OQTVHK,B00PKIE760,1440979200000,5231055,N,3,0,0,N
R3TZXN1VTPE0V3,B00B3CUA0E,1440979200000,119673,N,5,0,0,Y
R1RI19FYJE6DIM,B00KCFAZTE,1440979200000,45101905,N,3,0,0,Y
RWBW8IV6X4XBI,B00112TIIQ,1440979200000,18773689,N,5,1,1,Y
RYRV10WKQ3TCY,B00W47D9K0,1440979200000,27397579,N,4,0,0,N
R1N90NPN15KIIG,B000NZAIC2,1440979200000,1488387,N,3,0,0,Y
R3LWFEDDHZKDNQ,B005CK3GIQ,1440979200000,32364447,N,5,0,0,Y
R21VHW9NEK8NVY,B000J3ZMQA,1440979200000,1488387,N,5,0,0,Y
R30JOLDP3K6273,B001HTB6PG,1440979200000,13019751,N,2,0,1,Y
R64LXM55FHZ9A,B001ADSPT4,1440979200000,25344238,N,4,0,0,Y
R2AE3B44XQO9OJ,B001ET77H0,1440979200000,34962480,N,1,0,0,Y
R1GXFYG24TL2XL,B00C2GNK02,1440979200000,50628765,N,1,0,1,Y
R1J4X17M2G2T5A,B00W2U437W,1440979200000,22094721,N,4,1,1,N
R3N77VRU8Q2C,B00YQK1LVC,1440979200000,294612,N,1,0,0,Y
R5BOX6ST255VE,B000FRWNL2,1440979200000,12650290,N,5,0,0,Y
R2TZ5DQT03S70C,B00KYUXIOG,1440979200000,9260638,N,3,0,0,N
R2YNOXNHD4PP9G,B00BEEK5II,1440979200000,39668549,N,5,4,4,Y
R2PK1RJJNQCT65,B00FBO8FCA,1440979200000,50541878,N,5,0,0,Y
R1R83SV7CZPMQQ,B009MLSJ38,1440979200000,11599505,N,4,0,0,Y
R83BAI1TS0OWH,B002JPJ2ZS,1440979200000,44458172,N,3,1,2,Y
R1DFD8356JKDR4,B001AT00MI,1440979200000,51309613,N,3,0,2,Y
R1WDMMGY0JDZ1N,B00XWRPLMK,1440979200000,22716711,N,4,0,0,Y
RAP1IF2K8TP9J,B010FHRA4G,1440979200000,7582510,N,4,0,1,Y
R3K3EGDMZYSZY0,B00THEGVCG,1440979200000,26951431,N,5,0,0,N
R2FE3RNUT6NIH1,B00TPEKNZY,1440979200000,13504631,N,5,0,1,N
R3PO2NCS3EV2IX,B00ZQDKDIU,1440979200000,15405260,N,5,0,0,N
RDEOQXQOHOIJ3,B004E9ERPM,1440979200000,46277533,N,3,0,0,Y
R3114BKO4IH0SX,B0126XBPS4,1440979200000,21453375,N,5,0,0,N
RY201L79ES4QR,B00H9A40R8,1440979200000,46129209,N,4,0,0,Y
RRQOYDT41XA4M,B00VXHY6KY,1440979200000,11192289,N,5,0,0,N
RS1K78YJ4LVCC,B00VSN7CEU,1440979200000,38481152,N,5,0,0,N
R22FZA5ZQIXR6S,B0030GSEWC,1440979200000,42846729,N,3,0,0,Y
R1QCTRT6T9KD8T,B004SE9J1K,1440979200000,11470072,N,5,0,0,Y
RGWJ69OXW5XW2,B004C0NVUA,1440979200000,28106065,N,4,0,1,Y
R1AWRPNYZOE730,B00UQNM2SE,1440979200000,26599047,N,5,0,0,Y
RDVNET41V9Y12,B00L0R5494,1440979200000,823235,N,3,0,0,N
R38CRNT1RXO45E,B00XK1AH68,1440979200000,10802999,N,5,2,3,Y
R11F2E3PU7E1GC,B0019QXQGO,1440979200000,19173052,N,5,0,0,Y
R1PBNHU6AF9HOJ,B00LCMH2VK,1440979200000,42216739,N,5,0,0,Y
R68QMS0CNHVH5,B004UZLOBA,1440979200000,1122970,N,5,0,0,Y
R27VD1Z9NFROQ1,B000094ZDX,1440979200000,30688607,N,5,0,0,Y
R1FQS36HJASSOD,B007G4TVI0,1440979200000,3084759,N,1,0,1,Y
RQ9DGJ1Z50HFW,B0062OF5L2,1440979200000,49035365,N,5,0,0,Y
